Y,X,Type,Hoshlds,GeoUID,AP(Cns),ShapeAr,CMA_UID,Popultn,CSD_UID,Dwllngs,PR_UID,CD_UID,ReginNm,Ar(skm),id
5043257.23062006,295200.96274284,CT,2802,4620220.0000000000,5810,0.4197800000,"24462",5798,"2466023",3025,"24","2466",Montr_al,0.4197800000,
5042891.40644825,294999.039657985,CT,2698,4620221.0000000000,6346,0.3285800000,"24462",5988,"2466023",2976,"24","2466",Montr_al,0.3285800000,
5045384.15985287,295042.920071684,CT,2484,4620239.0000000000,4587,0.5420000000,"24462",4696,"2466023",2616,"24","2466",Montr_al,0.5420000000,
5045752.64734696,295395.017256111,CT,1546,4620240.0000000000,3068,0.3076100000,"24462",3226,"2466023",1651,"24","2466",Montr_al,0.3076100000,
5045977.21629584,295722.565295447,CT,1340,4620241.0000000000,2895,0.2060500000,"24462",2914,"2466023",1456,"24","2466",Montr_al,0.2060500000,
5044730.81031016,296247.226305514,CT,1182,4620247.0000000000,2212,0.1931300000,"24462",2239,"2466023",1255,"24","2466",Montr_al,0.1931300000,
5045601.3403863,293523.084840484,CT,2213,4620265.0000000000,4402,0.4832600000,"24462",4565,"2466023",2376,"24","2466",Montr_al,0.4832600000,
5045138.82797387,293362.882510178,CT,1682,4620266.0000000000,3258,0.7533400000,"24462",3357,"2466023",1794,"24","2466",Montr_al,0.7533400000,
5044475.40084699,292971.132686447,CT,2666,4620267.0000000000,6030,1.1259300000,"24462",6334,"2466023",2883,"24","2466",Montr_al,1.1259300000,
5044788.83185878,292046.858047631,CT,1921,4620269.0000000000,3969,0.7717400000,"24462",4137,"2466023",2098,"24","2466",Montr_al,0.7717400000,
5046447.18349445,292749.986593952,CT,1613,4620271.0000000000,3244,0.4780400000,"24462",3454,"2466023",1693,"24","2466",Montr_al,0.4780400000,
5047087.08152872,293010.437697515,CT,1841,4620272.0000000000,3748,0.5044100000,"24462",3796,"2466023",1911,"24","2466",Montr_al,0.5044100000,
5047735.97917872,293318.622397153,CT,2195,4620273.0000000000,4379,0.5693400000,"24462",4661,"2466023",2411,"24","2466",Montr_al,0.5693400000,
5048806.20266808,292965.886389668,CT,1996,4620275.0000000000,3983,0.6207300000,"24462",4011,"2466023",2180,"24","2466",Montr_al,0.6207300000,
5048240.33362352,292512.808097281,CT,2529,4620276.0000000000,5016,0.8864500000,"24462",5112,"2466023",2726,"24","2466",Montr_al,0.8864500000,
5047415.41837185,292395.55387141,CT,1936,4620277.0000000000,4403,0.5592900000,"24462",4410,"2466023",2101,"24","2466",Montr_al,0.5592900000,
5037899.40427848,293420.753396924,CT,2473,4620370.0000000000,7153,1.7952600000,"24462",6973,"2466062",2623,"24","2466",Hampstead,1.7952600000,
5045983.3917199,296381.993936827,CT,2139,4620249.0000000000,4098,0.5301300000,"24462",4194,"2466023",2279,"24","2466",Montr_al,0.5301300000,
5046311.5637723,296595.349954369,CT,1899,4620250.0000000000,3973,0.4483600000,"24462",4052,"2466023",2050,"24","2466",Montr_al,0.4483600000,
5046905.33710204,297431.910210796,CT,2275,4620252.0000000000,5044,0.3254400000,"24462",5258,"2466023",2458,"24","2466",Montr_al,0.3254400000,
5047272.17301367,296843.230583691,CT,1443,4620253.0000000000,2997,0.4582400000,"24462",3436,"2466023",1582,"24","2466",Montr_al,0.4582400000,
5047522.90868624,297340.534240721,CT,1836,4620254.0000000000,3931,0.6139400000,"24462",4069,"2466023",1934,"24","2466",Montr_al,0.6139400000,
5047048.473725,295564.09809,CT,1465,4620256.0000000000,3864,1.8427100000,"24462",3772,"2466023",1628,"24","2466",Montr_al,1.8427100000,
5047818.22655,296140.71672,CT,1657,4620257.0000000000,4622,1.3299000000,"24462",4520,"2466023",1785,"24","2466",Montr_al,1.3299000000,
5049132.08736615,295282.748005731,CT,2321,4620259.0000000000,6065,0.3707300000,"24462",5969,"2466023",2545,"24","2466",Montr_al,0.3707300000,
5048632.38358326,294615.020986526,CT,836,4620260.0000000000,2317,0.5422500000,"24462",2312,"2466023",893,"24","2466",Montr_al,0.5422500000,
5048346.706,295084.729,CT,1070,4620261.0000000000,2820,0.6294400000,"24462",2713,"2466023",1168,"24","2466",Montr_al,0.6294400000,
5047588.84803711,294610.941304934,CT,1717,4620262.0000000000,4593,0.7679200000,"24462",4525,"2466023",1889,"24","2466",Montr_al,0.7679200000,
5047688.17543033,294028.48253362,CT,1713,4620263.0000000000,4027,0.7522900000,"24462",4085,"2466023",1848,"24","2466",Montr_al,0.7522900000,
5042972.59394923,296505.070987778,CT,1157,4620167.0000000000,2457,0.2054900000,"24462",2549,"2466023",1229,"24","2466",Montr_al,0.2054900000,
5042959.07395668,297383.819474176,CT,2648,4620171.0000000000,4539,0.4830800000,"24462",4735,"2466023",2836,"24","2466",Montr_al,0.4830800000,
5043234.16434805,297697.976711567,CT,1551,4620172.0000000000,2200,0.1981300000,"24462",2496,"2466023",1680,"24","2466",Montr_al,0.1981300000,
5043453.09131367,297863.137753422,CT,1141,4620173.0000000000,1970,0.1865800000,"24462",2029,"2466023",1212,"24","2466",Montr_al,0.1865800000,
5043716.22021157,298027.413666065,CT,1221,4620174.0000000000,2031,0.2299100000,"24462",2091,"2466023",1305,"24","2466",Montr_al,0.2299100000,
5043888.27961071,298147.442957996,CT,1059,4620175.0000000000,2044,0.1190100000,"24462",1978,"2466023",1141,"24","2466",Montr_al,0.1190100000,
5044008.81423966,298282.939289133,CT,873,4620176.0000000000,1551,0.1139100000,"24462",1572,"2466023",920,"24","2466",Montr_al,0.1139100000,
5044171.32540672,298381.893800624,CT,748,4620177.0000000000,1189,0.0988500000,"24462",1346,"2466023",802,"24","2466",Montr_al,0.0988500000,
5044669.61118514,298159.235117397,CT,2172,4620179.0000000000,3703,0.4978600000,"24462",3819,"2466023",2356,"24","2466",Montr_al,0.4978600000,
5045119.6602,298457.409245,CT,1904,4620180.0000000000,3453,0.2641700000,"24462",3378,"2466023",2022,"24","2466",Montr_al,0.2641700000,
5045034.85319002,299035.603825391,CT,2449,4620181.0000000000,3570,0.3347000000,"24462",4468,"2466023",3042,"24","2466",Montr_al,0.3347000000,
5045366.52333138,298583.268979884,CT,1125,4620182.0000000000,2154,0.1379200000,"24462",2155,"2466023",1182,"24","2466",Montr_al,0.1379200000,
5045545.07180598,298677.422866616,CT,1231,4620183.0000000000,2205,0.1318000000,"24462",2205,"2466023",1265,"24","2466",Montr_al,0.1318000000,
5045796.82604489,298806.227507371,CT,1540,4620184.0000000000,2910,0.2191000000,"24462",2943,"2466023",1615,"24","2466",Montr_al,0.2191000000,
5045839.49086315,299342.88131076,CT,2445,4620186.0000000000,4422,0.3873300000,"24462",4539,"2466023",2577,"24","2466",Montr_al,0.3873300000,
5046912.1655183,299935.660496571,CT,0,4620189.0000000000,0,1.4695100000,"24462",0,"2466023",0,"24","2466",Montr_al,1.4695100000,
5049477.65456369,301046.378331114,CT,2875,4620191.0000000000,6178,1.6916900000,"24462",6171,"2466023",3115,"24","2466",Montr_al,1.6916900000,
5050884.03446356,301716.155442036,CT,1172,4620192.0000000000,3221,0.7796900000,"24462",3290,"2466023",1197,"24","2466",Montr_al,0.7796900000,
5051655.13062173,302082.39969842,CT,924,4620193.0000000000,1978,0.2646400000,"24462",2003,"2466023",986,"24","2466",Montr_al,0.2646400000,
5052321.43238421,302052.039145872,CT,3061,4620194.0000000000,5859,1.2092600000,"24462",7557,"2466023",3196,"24","2466",Montr_al,1.2092600000,
5048018.29955808,299522.371554334,CT,2018,4620196.0000000000,4055,0.4049600000,"24462",3944,"2466023",2261,"24","2466",Montr_al,0.4049600000,
5048278.41001704,299003.888209489,CT,2404,4620197.0000000000,4815,0.5961100000,"24462",5027,"2466023",2580,"24","2466",Montr_al,0.5961100000,
5047648.22803524,298863.529186688,CT,2440,4620198.0000000000,4891,0.6466100000,"24462",4940,"2466023",2619,"24","2466",Montr_al,0.6466100000,
5047059.78742712,298931.121822659,CT,1341,4620199.0000000000,2605,0.2251400000,"24462",2613,"2466023",1429,"24","2466",Montr_al,0.2251400000,
5046684.09660595,298313.573964569,CT,3436,4620201.0000000000,7128,0.9381200000,"24462",7118,"2466023",3666,"24","2466",Montr_al,0.9381200000,
5046078.58960705,297946.110148207,CT,2280,4620202.0000000000,4292,0.6147200000,"24462",4224,"2466023",2429,"24","2466",Montr_al,0.6147200000,
5045777.18560812,297487.530353239,CT,1459,4620203.0000000000,2725,0.2378600000,"24462",2700,"2466023",1560,"24","2466",Montr_al,0.2378600000,
5045539.58466308,298004.626361514,CT,1438,4620204.0000000000,2693,0.2349100000,"24462",2670,"2466023",1525,"24","2466",Montr_al,0.2349100000,
5045165.74520009,297764.512924879,CT,1150,4620205.0000000000,2069,0.1768800000,"24462",2115,"2466023",1222,"24","2466",Montr_al,0.1768800000,
5038053.79817485,297936.677981615,CT,1121,4620350.0000000000,2491,0.5594900000,"24462",2525,"2466032",1250,"24","2466",Westmount,0.5594900000,
5036969.44468904,292806.252540611,CT,1802,4620380.0000000000,4094,0.7652700000,"24462",4060,"2466058",1877,"24","2466",C_te-Saint-Luc,0.7652700000,
5035561.49771087,292194.54374949,CT,2474,4620381.0000000000,6381,0.5886000000,"24462",6290,"2466058",2736,"24","2466",C_te-Saint-Luc,0.5886000000,
5035721.71117131,298862.827813443,CT,1745,4620304.0000000000,2911,0.2710600000,"24462",3277,"2466023",1857,"24","2466",Montr_al,0.2710600000,
5037970.76433798,294268.568290142,CT,949,4620385.0000000000,1465,0.0371200000,"24462",1517,"2466058",1001,"24","2466",C_te-Saint-Luc,0.0371200000,
